SessionID,UserID,StartTime,EndTime,Genre,DeviceType,SubscriptionType,Region,DurationMinutes,WatchMinutes,CompletionRate,BufferEvents,BitrateMbps,UserRating,PeakHours,PauseCount,VolumeChanges,AdSkips
SSN100773,USR4803,2024-07-29T18:08:59,2024-07-29T18:51:59,Romance,Smart TV,Basic,Germany,41,24,0.63,1,6.25,4.1,Yes,1,2,1
SSN100774,USR9329,2024-09-10T06:39:29,2024-09-10T07:04:29,Sci-Fi,Mobile,Standard,US,23,16,0.6,2,4.19,3.8,No,1,1,1
SSN100775,USR1985,2024-06-04T14:40:06,2024-06-04T15:03:06,Documentary,Mobile,Premium,United Kingdom,19,15,0.68,2,4.12,4.2,No,1,2,0
SSN100776,USR6124,2024-04-12T21:22:31,2024-04-12T22:51:31,Comedy,Tablet,Basic,Brazil,93,37,0.42,1,3.6,3,Yes,1,0,0
SSN100777,USR3625,2024-10-14T08:30:12,2024-10-14T08:57:12,Sci-Fi,PC,Premium,Australia,26,7,0.26,1,3.99,3.9,No,0,0,0
SSN100778,USR2107,2024-11-19T20:09:35,2024-11-19T22:18:35,Action,PC,Standard,India,130,79,0.61,1,3.34,4.2,Yes,0,2,1
SSN100779,USR7084,2024-04-28T15:56:30,2024-04-28T18:50:30,Drama,Smart TV,Basic,Brazil,173,121,0.71,2,6.22,4.4,No,3,1,0
SSN100780,USR6140,2024-03-28T01:00:26,2024-03-28T03:51:26,Comedy,Tablet,Premium,UK,169,148,0.87,2,4.61,4.1,Yes,2,7,0
SSN100781,USR4085,2024-04-20T04:22:36,2024-04-20T05:41:36,Sci-Fi,Mobile,Standard,Australia,83,78,0.98,0,3.66,4.8,No,1,1,2
SSN100782,USR7752,2024-05-25T14:10:19,2024-05-25T16:11:19,Documentary,Tablet,Standard,Australia,121,103,0.84,3,1.46,3.3,No,2,2,2
SSN100783,USR5450,2024-02-20T02:50:46,2024-02-20T04:03:46,Horror,Game Console,Standard,France,74,74,1,3,3.91,4.7,No,1,1,0
SSN100784,USR7710,2024-09-23T02:01:37,2024-09-23T03:24:37,Animation,Tablet,Standard,UK,85,71,0.84,0,4.48,4.2,No,2,2,0
SSN100785,USR3480,2024-05-25T08:55:38,2024-05-25T09:34:38,Drama,Game Console,Standard,US,38,16,0.4,0,2.73,3.1,No,2,4,3
SSN100786,USR3107,2024-11-25T14:03:02,2024-11-25T15:00:02,Horror,Mobile,Standard,Australia,54,50,0.88,1,2.64,3.5,No,3,3,2
SSN100787,USR6262,2024-06-01T09:06:12,2024-06-01T09:57:12,Documentary,PC,Basic,Germany,51,52,1,0,4.15,4,No,1,1,0
SSN100788,USR7480,2024-02-09T00:17:43,2024-02-09T02:10:43,Horror,Tablet,Standard,US,113,110,1,3,2.68,4,Yes,2,1,2
SSN100789,USR2528,2024-10-05T17:01:18,2024-10-05T17:49:18,Animation,Mobile,Premium,UK,45,33,0.76,1,4.91,2.6,No,2,1,0
SSN100790,USR1560,2024-10-13T12:24:42,2024-10-13T13:15:42,Sci-Fi,Mobile,Premium,de,52,25,0.53,0,4.7,3.7,No,0,0,0
SSN100791,USR4880,2024-05-16T15:02:26,2024-05-16T17:13:26,Romance,Mobile,Premium,Canada,134,86,0.66,1,3.42,4,No,1,4,0
SSN100792,USR5364,2024-11-25T21:38:31,2024-11-26T00:08:31,Comedy,Smart TV,Basic,India,154,99,0.67,2,4.54,3.2,Yes,2,1,1
SSN100793,USR9294,2024-01-15T09:37:44,2024-01-15T12:37:44,Action,Game Console,STANDARD,UK,182,129,0.7,1,3.4,5,No,0,3,2
SSN100794,USR5040,2024-05-22T15:56:47,2024-05-22T18:17:47,Romance,Smart TV,Premium,UK,144,74,0.54,0,4.81,2.6,No,1,3,0
SSN100795,USR7187,2024-03-26T05:47:04,2024-03-26T08:23:04,Romance,PC,Premium,France,158,99,0.65,1,4.3,2.9,No,1,3,0
SSN100796,USR8541,2024-11-29T13:48:42,2024-11-29T16:34:42,Romance,PC,Premium,Australia,164,165,1,0,3.92,3.7,No,1,2,0
SSN100797,USR3705,2024-03-22T14:33:31,2024-03-22T15:28:31,Romance,PC,Standard,UK,55,20,0.36,2,3.52,4.4,No,1,2,1
SSN100798,USR8356,2024-04-30T07:35:12,2024-04-30T10:15:12,Sci-Fi,PC,Premium,Brazil,163,109,0.7,2,4.09,,No,1,3,0
SSN100799,USR9877,2024-09-08T17:52:58,2024-09-08T20:45:58,Drama,Smart TV,Standard,India,173,140,0.8,3,6.54,3.8,No,4,2,0
SSN100800,USR4254,2024-09-02T10:40:09,2024-09-02T13:00:09,Horror,Mobile,Standard,India,140,124,0.9,2,3.13,,No,0,1,1
SSN100801,USR4676,2024-05-13T05:57:53,2024-05-13T07:21:53,Animation,PC,Standard,Brazil,84,86,1,0,2.07,4.1,No,0,3,0
SSN100802,USR6698,2024-09-13T14:20:09,2024-09-13T17:02:09,Drama,Tablet,Premium,UK,160,83,0.5,1,3.74,5,No,3,2,0
SSN100803,USR2160,2024-06-24T02:52:35,2024-06-24T03:54:35,Romance,Game Console,Premium,France,63,29,0.47,1,4.29,3.8,No,0,4,0
SSN100804,USR6083,2024-08-08T01:13:12,2024-08-08T01:39:12,Animation,Mobile,Standard,India,26,14,0.74,0,2.84,3.3,Yes,1,2,1
SSN100805,USR6082,2024-05-04T05:11:00,2024-05-04T06:25:00,Comedy,Smart TV,Basic,UK,76,52,0.65,1,5.27,3.4,No,2,1,1
SSN100806,USR6430,2024-01-18T02:10:11,2024-01-18T03:44:11,Animation,Game Console,Premium,India,93,96,1,0,4.77,3.9,No,1,3,0
SSN100807,USR1166,2024-12-24T09:46:55,2024-12-24T10:21:55,Animation,Game Console,Premium,UK,35,26,0.72,1,2.96,2.9,No,1,2,0
SSN100808,USR8638,2024-08-02T19:00:01,2024-08-02T20:41:01,Documentary,Game Console,Standard,UK,99,75,0.72,0,3.94,4.8,Yes,4,2,1
SSN100809,USR9844,2024-08-26T10:08:03,2024-08-26T12:37:03,Comedy,Mobile,Basic,UK,149,117,0.79,1,2.72,5,No,0,0,2
SSN100810,USR6003,2024-10-17T21:46:19,2024-10-18T00:04:19,Horror,Game Console,Standard,Australia,142,94,0.68,2,3.81,4.7,Yes,2,0,3
SSN100811,USR7980,2024-10-08T04:56:18,2024-10-08T06:08:18,Sci-Fi,Tablet,Standard,Brazil,71,68,0.96,1,4.3,4.4,No,0,5,0
SSN100812,USR5518,2024-03-27T16:49:44,2024-03-27T17:19:44,Horror,Smart TV,Basic,Germany,31,16,0.59,3,3.73,4.3,No,0,1,0
SSN100813,USR4169,2024-08-06T15:48:20,2024-08-06T18:24:20,Animation,Mobile,Basic,Brazil,158,158,1,1,4.94,3.6,No,1,2,1
SSN100814,USR3195,2024-12-23T02:28:29,2024-12-23T04:14:29,Drama,Mobile,Basic,India,103,109,1,1,5.35,5,No,2,2,1
SSN100815,USR2497,2024-04-11T06:53:14,2024-04-11T09:34:14,Romance,PC,Premium,UK,165,158,0.99,1,2.69,2.7,No,0,1,0
SSN100816,USR5637,2024-09-12T09:08:41,2024-09-12T10:30:41,Horror,Smart TV,Standard,UK,83,84,1,3,5.17,,No,0,1,2
SSN100817,USR1459,2024-03-21T15:32:21,2024-03-21T18:02:21,Sci-Fi,Game Console,Premium,France,150,145,0.97,1,4.49,3.8,No,0,2,0
SSN100818,USR1779,2024-07-23T23:09:31,2024-07-24T00:28:31,Drama,PC,Basic,Canada,79,53,0.68,1,3.71,3.9,Yes,2,3,0
SSN100819,USR9261,2024-12-27T12:12:36,2024-12-27T12:54:36,Action,Tablet,Premium,US,38,38,0.93,3,3.66,3.5,No,1,3,0
SSN100820,USR7979,2024-12-29T00:00:52,2024-12-29T00:22:52,Action,PC,BASIC,Australia,21,15,0.69,2,3.63,3.1,Yes,2,1,1
SSN100821,USR9214,2024-01-08T06:38:29,2024-01-08T08:02:29,Animation,Mobile,Premium,India,84,46,0.59,2,3.27,5,No,1,1,0
SSN100822,USR5097,2024-10-30T08:28:43,2024-10-30T08:48:43,Sci-Fi,Smart TV,Basic,US,21,12,0.64,1,5.71,5,No,0,2,0
SSN100823,USR2635,2024-08-08T10:14:31,2024-08-08T11:34:31,Sci-Fi,Game Console,Basic,Canada,82,79,1,0,3.54,3.5,No,3,1,1
SSN100824,USR2298,2024-11-16T22:20:02,2024-11-17T00:49:02,Action,PC,Standard,Australia,147,104,0.7,2,0.86,3.5,Yes,1,3,0
SSN100825,USR2542,2024-12-21T09:03:34,2024-12-21T09:32:34,Horror,Mobile,Premium,US,35,13,0.39,1,2.92,4.1,No,0,3,0
SSN100826,USR2452,2024-07-25T08:21:37,2024-07-25T09:35:37,Comedy,Game Console,Basic,Australia,76,73,0.98,0,,4.1,No,2,1,0
SSN100827,USR3361,2024-07-02T11:11:36,2024-07-02T13:41:36,Drama,Tablet,Standard,Brazil,150,126,0.81,1,3.59,4.1,No,2,4,0
SSN100828,USR5870,2024-02-18T19:41:29,2024-02-18T21:44:29,Drama,Tablet,Standard,Brazil,123,64,0.52,2,2.19,2.7,Yes,3,3,0
SSN100829,USR5788,2024-01-31T09:26:10,2024-01-31T09:50:10,Documentary,Mobile,Basic,Australia,24,20,1,2,3.46,4,No,3,5,2
SSN100830,USR7247,2024-05-05T07:25:29,2024-05-05T09:32:29,Love,Mobile,Basic,Canada,130,129,0.99,0,4.11,3.8,No,0,1,0
SSN100831,USR2981,2024-02-12T10:18:16,2024-02-12T12:04:16,Documentary,PC,Premium,US,110,68,0.64,1,2.93,4.2,No,5,4,0
SSN100832,USR1682,2024-07-28T15:49:00,2024-07-28T16:30:00,Drama,Smart TV,Premium,India,41,32,0.75,0,2.88,,No,2,2,0
SSN100833,USR3479,2024-05-17T11:13:30,2024-05-17T14:12:30,Drama,Game Console,Premium,France,180,110,0.61,1,1.1,4,No,5,2,0
SSN100834,USR3652,2024-07-11T12:14:05,2024-07-11T13:17:05,Documentary,Tablet,Standard,Australia,66,57,0.92,2,,3.7,No,3,0,1
SSN100835,USR9223,2024-01-26T02:44:54,2024-01-26T04:44:54,Sci-Fi,Mobile,Premium,UK,120,67,0.57,0,4.68,3.9,No,1,2,0
SSN100836,USR9214,2024-03-08T20:58:32,2024-03-08T23:38:32,Action,Game Console,Basic,UK,160,132,0.83,2,2.83,4.6,Yes,3,4,2
SSN100837,USR3613,2024-02-16T00:09:32,2024-02-16T02:03:32,Sci-Fi,Tablet,Basic,UK,113,60,0.56,2,4.47,3.8,Yes,0,2,0
SSN100838,USR4179,2024-12-29T20:13:53,2024-12-29T23:09:53,Drama,Smart TV,Premium,Canada,177,177,0.99,2,4.07,4.8,Yes,1,3,0
SSN100839,USR8547,2024-08-28T17:19:36,2024-08-28T18:09:36,Action,PC,Standard,Brazil,49,44,,2,3.9,4.7,No,0,2,2
SSN100840,USR3327,2024-11-30T02:07:38,2024-11-30T03:33:38,Sci-Fi,Mobile,Premium,France,85,47,0.5,1,3.87,2.8,No,0,7,0
SSN100841,USR7316,2024-12-29T01:14:26,2024-12-29T03:47:26,Action,PC,Basic,Germany,153,150,0.99,4,3.57,4.6,Yes,2,2,1
SSN100842,USR6189,2024-07-02T12:23:47,2024-07-02T14:53:47,Documentary,Mobile,Basic,US,150,80,0.53,0,2.61,4.7,No,3,4,0
SSN100843,USR1038,2024-11-15T10:23:38,2024-11-15T11:21:38,Action,Smart TV,Basic,Germany,58,58,1,3,4.92,3,No,1,0,0
SSN100844,USR2414,2024-01-31T06:44:00,2024-01-31T07:33:00,Animation,Mobile,Premium,CANADA,50,53,1,0,4.01,5,No,4,3,0
SSN100845,USR9285,2024-11-10T05:55:59,2024-11-10T08:21:59,Documentary,Game Console,Basic,US,147,127,0.86,0,2.69,3.2,No,2,3,2
SSN100846,USR6550,2024-08-22T08:54:49,2024-08-22T11:44:49,Drama,Mobile,Basic,France,170,124,0.74,1,1.91,4.3,No,3,4,3
SSN100847,USR8904,2024-12-03T23:27:25,2024-12-04T00:25:25,Documentary,Tablet,Standard,UK,56,39,0.7,0,3.59,3.4,Yes,6,4,2
SSN100848,USR8247,2024-04-01T00:45:29,2024-04-01T02:37:29,Romance,Game Console,Basic,France,112,72,0.68,1,4.15,4,Yes,0,3,0
SSN100849,USR4294,2024-09-20T08:25:01,2024-09-20T10:06:01,Comedy,Tablet,Standard,Brazil,102,81,0.78,1,5.74,4.6,No,1,1,2
SSN100850,USR2487,2024-12-26T07:00:31,2024-12-26T08:57:31,Action,Smart TV,Basic,US,116,117,1,4,5.17,2.8,No,1,2,0
SSN100851,USR8733,2024-02-19T23:08:02,2024-02-20T01:24:02,Horror,PC,Premium,Australia,137,115,0.85,1,3.09,4.7,Yes,3,2,0
SSN100852,USR7629,2024-07-05T07:15:52,2024-07-05T09:00:52,Drama ,Tablet,Standard,US,103,87,0.89,0,2.16,4.2,No,4,2,1
SSN100853,USR9749,2024-11-16T05:14:05,2024-11-16T06:10:05,Romance,Mobile,Premium,Germany,56,61,1,0,4.28,4,No,1,1,0
SSN100854,USR4477,2024-11-18T18:15:13,2024-11-18T20:39:13,Action,Tablet,Premium,Australia,143,53,0.38,1,3.97,3.3,Yes,1,3,0
SSN100855,USR5213,2024-11-15T21:45:26,2024-11-15T22:52:26,Sci-Fi,Tablet,PREMIUM,Australia,66,60,0.99,0,3.91,,Yes,0,5,0
SSN100856,USR9866,2024-03-22T18:42:40,2024-03-22T19:08:40,HORROR,Smart TV,Premium,India,26,23,0.84,2,6.27,2.6,Yes,0,1,0
SSN100857,USR7252,2024-09-15T10:43:50,2024-09-15T12:36:50,Sci-Fi,Smart TV,Premium,Canada,113,88,0.8,0,4.17,3.1,No,0,0,0
SSN100858,USR2122,2024-05-14T12:17:31,2024-05-14T13:21:31,Action,Mobile,Standard,France,66,63,0.99,2,3.71,4.9,No,0,3,2
SSN100859,USR1459,2024-11-29T04:27:06,2024-11-29T05:48:06,Documentary,Game Console,Standard,Canada,78,54,0.68,0,3.02,4.2,No,2,1,1
SSN100860,USR9496,2024-09-15T06:03:07,2024-09-15T07:48:07,Action,Game Console,Standard,US,106,91,0.83,2,1.88,4.5,No,3,2,1
SSN100861,USR3294,2024-11-01T23:58:27,2024-11-02T01:13:27,Animation,Game Console,Basic,Germany,74,38,0.5,3,3.59,4,Yes,0,3,0
SSN100862,USR9054,2024-01-09T20:45:37,2024-01-09T21:11:37,Drama,Mobile,Basic,UK,29,25,1,0,4.42,3.7,Yes,2,3,0
SSN100863,USR4169,2024-09-20T05:28:38,2024-09-20T06:46:38,Sci-Fi,Game Console,BASIC,Australia,80,39,0.51,3,1.86,3,No,0,0,2
SSN100864,USR7733,2024-05-26T21:58:42,2024-05-26T23:03:42,Horror,Game Console,Premium,Germany,64,41,0.64,2,2.84,4.4,Yes,1,1,0
SSN100865,USR6520,2024-07-22T11:41:12,2024-07-22T14:00:12,Sci-Fi,PC,Standard,US,138,105,0.75,1,3.62,3.1,No,2,1,1
SSN100866,USR4945,2024-02-15T08:09:27,2024-02-15T09:41:27,Sci-Fi,Smart TV,Basic,France,91,94,0.98,2,2.26,3.7,No,0,0,0
SSN100867,USR5979,2024-03-17T08:30:27,2024-03-17T11:13:27,Sci-Fi,Tablet,STD,US,164,144,0.86,2,1.47,3.8,No,1,4,1
SSN100868,USR9810,2024-11-16T08:16:48,2024-11-16T10:10:48,Drama,PC,Basic,France,115,61,0.57,2,1.92,2.3,No,1,1,0
SSN100869,USR3966,2024-05-29T15:50:30,2024-05-29T17:49:30,Romance,console,Premium,France,120,55,0.5,2,2.78,3.2,No,1,2,0
SSN100870,USR6665,2024-12-18T15:07:28,2024-12-18T18:05:28,Horror,Game Console,Standard,Brazil,180,147,0.83,2,2.18,4.4,No,2,0,1
SSN100871,USR5445,2024-06-15T11:18:58,2024-06-15T11:58:58,Documentary,PC,Basic,Canada,43,29,0.78,0,1.87,3.8,No,2,4,0
SSN100872,USR5521,2024-02-24T20:08:48,2024-02-24T22:38:48,Documentary,PC,Standard,Brazil,148,144,0.99,1,2.99,2.8,Yes,1,0,1
SSN100873,USR1467,2024-09-18T15:18:08,2024-09-18T16:14:08,Horror,Tablet,Standard,Canada,54,44,0.78,3,2.81,,No,0,1,2
SSN100874,USR7702,2024-01-10T21:22:19,2024-01-10T22:07:19,Horror,PC,STANDARD,Brazil,45,29,0.6,3,3.62,5,Yes,0,2,1
SSN100875,USR5227,2024-12-20T00:03:39,2024-12-20T01:55:39,Horror,Mobile,Basic,UK,113,107,0.93,4,2.79,4.4,Yes,1,3,2
SSN100876,USR6037,2024-10-30T01:04:35,2024-10-30T01:49:35,Horror,Tablet,Standard,UK,46,35,0.86,2,3.3,,Yes,3,2,1
SSN100877,USR4421,2024-09-20T04:16:57,2024-09-20T06:58:57,Animation,Tablet,Standard,uk,160,150,0.92,2,3.37,4.1,No,0,2,1
SSN100878,USR4502,2024-02-13T05:45:32,2024-02-13T07:00:32,Action,Mobile,Premium,Australia,78,76,1,0,4.46,4.5,No,1,4,0
SSN100879,USR7469,2024-04-13T00:49:45,2024-04-13T02:48:45,Comedy,Tablet,Standard,UK,121,117,0.95,2,3.28,4,Yes,1,6,1
SSN100880,USR4574,2024-10-24T01:27:48,2024-10-24T03:03:48,Documentary,tablet,Premium,Brazil,98,56,0.58,1,3.04,3.4,Yes,4,1,0
SSN100881,USR4367,2024-12-10T21:39:39,2024-12-10T22:29:39,Action,Tablet,Premium,Germany,49,44,0.91,1,3.24,2.9,Yes,0,1,0
SSN100882,USR8978,2024-06-29T13:35:30,2024-06-29T14:05:30,Action,Game Console,Standard,Brazil,31,20,0.64,0,3.09,3.5,No,1,1,1
SSN100883,USR2341,2024-07-23T00:15:09,2024-07-23T00:44:09,Animation,iPad,Standard,Australia,30,16,0.64,0,4.49,5,Yes,2,2,0
SSN100884,USR4122,2024-09-30T21:44:27,2024-09-30T23:45:27,Documentary,Smart TV,Basic,Australia,123,77,0.68,0,5.16,3.3,Yes,3,0,1
SSN100885,USR9141,2024-04-06T22:14:28,2024-04-07T01:00:28,Documentary,Smart TV,Basic,UK,168,142,0.87,2,5.66,3.4,Yes,1,3,2
SSN100886,USR5055,2024-10-17T06:02:21,2024-10-17T08:40:21,Sci-Fi,Game Console,Standard,US,157,119,0.77,2,4.66,3.9,No,0,5,1
SSN100887,USR8201,2024-05-18T01:43:42,2024-05-18T02:54:42,Romance,Game Console,Basic,Australia,71,69,0.99,0,2.62,4.5,Yes,1,1,1
SSN100888,USR6215,2024-09-24T05:43:42,2024-09-24T06:33:42,Horror ,Tablet,Premium,France,51,43,0.89,0,2.73,3.7,No,1,4,0
SSN100889,USR2617,2024-01-21T16:24:22,2024-01-21T17:10:22,Horror,Mobile,Standard,Canada,49,38,0.87,1,4.67,3.3,No,0,2,0
SSN100890,USR2602,2024-03-01T18:53:41,2024-03-01T20:18:41,Action,PHONE,Standard,Australia,85,57,0.66,3,2.84,5,Yes,0,2,1
SSN100891,USR8381,2024-11-26T19:38:39,2024-11-26T22:19:39,Horror,Tablet,Basic,India,159,159,0.99,0,2.31,,Yes,3,4,2
SSN100892,USR3818,2024-11-14T16:41:21,2024-11-14T18:14:21,Romance,Smart TV,Basic,Brazil,91,66,0.73,1,5.2,3.3,No,0,2,1
SSN100893,USR8669,2024-04-13T21:26:53,2024-04-13T21:57:53,Romance,Mobile,Basic,Australia,31,20,0.65,0,3.03,3.4,Yes,1,5,0
SSN100894,USR5953,2024-02-05T20:08:41,2024-02-05T21:50:41,Drama,Smart TV,Basic,Brazil,104,100,0.99,0,7.15,5,Yes,3,2,1
SSN100895,USR6321,2024-06-04T17:11:26,2024-06-04T18:10:26,Animation,Smart TV,premium,Canada,63,39,0.63,1,3.92,2.3,No,1,7,0
SSN100896,USR4403,2024-07-03T13:03:28,2024-07-03T13:41:28,DRAMA,Smart TV,Standard,Germany,39,26,0.71,2,4.96,4.5,No,1,1,5
SSN100897,USR1185,2024-05-13T05:25:05,2024-05-13T08:10:05,Horror,Mobile,Basic,Australia,167,155,0.94,1,4.95,4,No,1,2,1
SSN100898,USR1522,2024-02-09T11:20:08,2024-02-09T13:20:08,Drama,Smart TV,Premium,Australia,120,118,0.97,0,5.88,4.1,No,3,3,0
SSN100899,USR6157,2024-07-18T11:08:12,2024-07-18T13:57:12,Drama,PC,Standard,Brazil,167,167,1,4,2.87,3.8,No,3,1,2
SSN100900,USR8081,2024-01-07T20:44:28,2024-01-07T23:44:28,Drama,Tablet,Standard,US,179,147,0.82,2,,3.9,Yes,4,1,0
SSN100901,USR9659,2024-02-26T11:03:26,2024-02-26T11:40:26,Drama,Tablet,Premium,Brazil,37,24,0.64,3,,4.8,No,2,3,0
SSN100902,USR6500,2024-01-03T22:10:19,2024-01-04T01:05:19,Romance,Mobile,Standard,Brazil,174,136,0.79,2,2.27,4.1,Yes,0,3,2
SSN100903,USR3765,2024-09-30T12:46:43,2024-09-30T14:01:43,Sci-Fi,Smart TV,Basic,usa,76,58,0.79,1,6.2,3.5,No,1,1,1
SSN100904,USR7198,2024-11-06T16:02:39,2024-11-06T16:33:39,Sci-Fi,Mobile,Premium,UK,34,24,0.82,0,2.07,,No,2,4,0
SSN100905,USR8958,2024-08-29T03:14:06,2024-08-29T04:14:06,Drama,Tablet,Basic,Canada,62,38,0.68,0,3.8,2.8,No,4,3,2
SSN100906,USR2910,2024-10-05T17:29:51,2024-10-05T20:21:51,Horror,Tablet,Premium,Germany,174,160,0.92,2,,4.5,No,0,2,0
SSN100907,USR7109,2024-06-18T01:52:46,2024-06-18T03:33:46,Horror,Smart TV,Standard,Canada,101,89,0.86,0,5.39,5,Yes,1,2,0
SSN100908,USR2609,2024-03-09T16:08:01,2024-03-09T18:21:01,Sci-Fi,Game Console,Premium,UK,131,114,0.9,1,3.16,4.4,No,2,3,0
SSN100909,USR3454,2024-01-28T17:38:19,2024-01-28T18:31:19,Horror,PC,Premium,India,51,42,0.83,3,5.07,4.5,No,0,1,0
SSN100910,USR9617,2024-01-10T05:06:39,2024-01-10T07:41:39,comedy,Game Console,Premium,US,158,124,0.78,2,2.91,4.5,No,0,0,0
SSN100911,USR2879,2024-08-30T02:28:57,2024-08-30T04:34:57,Drama,Tablet,STANDARD,Australia,127,124,1,2,3.01,4,No,2,2,3
SSN100912,USR9359,2024-04-13T18:15:41,2024-04-13T21:09:41,Drama,Tablet,Standard,India,171,146,0.82,0,2.64,4.2,Yes,2,1,2
SSN100913,USR6605,2024-01-24T10:08:16,2024-01-24T10:38:16,ACTION,Game Console,Premium,Germany,30,25,0.91,0,3.49,3.9,No,0,1,0
SSN100914,USR8449,2024-07-12T02:18:21,2024-07-12T05:06:21,Romance,Tablet,Standard,Canada,169,169,1,0,1.79,5,No,2,2,3
SSN100915,USR6651,2024-03-13T17:09:12,2024-03-13T19:30:12,Sci-Fi,Smart TV,Basic,Brazil,139,135,0.97,2,6.16,4.1,No,0,1,1
SSN100916,USR3585,2024-05-30T10:47:23,2024-05-30T13:06:23,Drama,Tablet,Premium,US,142,62,0.48,4,4.4,4.5,No,2,5,0
SSN100917,USR4971,2024-04-27T11:37:57,2024-04-27T12:28:57,Animation,PC,Standard,France,51,35,0.69,3,2.62,4,No,2,1,1
SSN100918,USR5131,2024-01-15T10:01:23,2024-01-15T11:25:23,Romance,Game Console,Basic,Australia,82,59,0.73,1,1.83,3.1,No,0,2,1
SSN100919,USR1303,2024-01-29T10:42:10,2024-01-29T13:19:10,Action,Tablet,Premium,France,161,103,0.66,1,2.99,4.1,No,0,0,0
SSN100920,USR5240,2024-07-22T00:18:11,2024-07-22T01:32:11,Action,PC,Basic,US,79,74,1,0,3.8,4,Yes,2,0,1
SSN100921,USR7297,2024-11-13T13:10:27,2024-11-13T14:34:27,Horror,Mobile,Premium,Germany,85,86,1,2,4.03,4.2,No,0,5,0
SSN100922,USR1099,2024-06-11T09:26:42,2024-06-11T10:17:42,Comedy,PC,Standard,Canada,51,37,0.65,1,3.51,3.5,No,0,0,1
SSN100923,USR4269,2024-09-07T22:37:00,2024-09-08T01:19:00,Comedy,Tablet,Premium,IN,162,111,0.67,0,5.57,4.4,Yes,1,1,0
SSN100924,USR5549,2024-05-31T17:53:56,2024-05-31T18:46:56,Action,Smart TV,Standard,India,52,42,0.85,2,4.7,5,No,2,1,1
SSN100925,USR7407,2024-03-30T15:07:50,2024-03-30T16:21:50,Sci-Fi,Mobile,Basic,India,78,74,1,1,3.51,3.7,No,0,0,0
SSN100926,USR2092,2024-02-07T05:42:43,2024-02-07T07:57:43,Action,Game Console,Basic,India,141,128,0.94,0,3.58,2.8,No,0,1,0
SSN100927,USR8513,2024-08-16T02:48:45,2024-08-16T05:13:45,Drama,PC,Standard,UK,150,125,0.88,1,3.65,3.6,No,4,1,3
SSN100928,USR7488,2024-12-27T10:39:49,2024-12-27T12:19:49,Comedy,PC,Basic,India,99,101,1,0,3.93,5,No,1,3,1
SSN100929,USR2401,2024-06-27T11:07:15,2024-06-27T12:32:15,Sci-Fi,Tablet,Standard,Germany,89,66,0.82,1,4.88,3.4,No,2,1,1
SSN100930,USR9322,2024-07-28T23:05:12,2024-07-29T01:07:12,Action,Smart TV,Standard,Brazil,124,111,0.9,1,4.96,3.1,Yes,2,1,0
SSN100931,USR5004,2024-07-29T17:18:00,2024-07-29T20:10:00,Drama,Tablet,Premium,Australia,170,177,1,0,3.55,,No,4,4,0
SSN100932,USR9847,2024-02-07T11:44:55,2024-02-07T14:27:55,romance,PC,Basic,India,164,164,1,0,2.32,4.4,No,0,2,0
SSN100933,USR3337,2024-03-16T02:21:21,2024-03-16T02:59:21,Funny,Tablet,Premium,Germany,36,26,0.56,1,5,4.6,No,1,4,0
SSN100934,USR1145,2024-08-12T02:56:55,2024-08-12T04:10:55,Drama,Tablet,Basic,Germany,77,66,0.88,2,3.41,3.6,No,2,2,1
SSN100935,USR1496,2024-05-25T12:19:38,2024-05-25T14:53:38,Action,Mobile,Premium,India,152,133,0.84,2,2.63,3.9,No,1,0,0
SSN100936,USR9190,2024-05-02T13:05:56,2024-05-02T14:47:56,Comedy,Smart TV,Basic,Brazil,104,65,0.66,0,5.09,2.1,No,1,0,3
SSN100937,USR9474,2024-05-26T01:12:38,2024-05-26T02:39:38,Action,Game Console,Standard,UK,88,88,,1,4.02,4.1,Yes,0,1,1
SSN100938,USR1876,2024-04-14T07:51:38,2024-04-14T10:24:38,Romance,Tablet,Standard,India,155,115,0.73,1,4.92,4.4,No,0,7,0
SSN100939,USR1139,2024-04-29T16:49:45,2024-04-29T17:14:45,Action,Game Console,Premium,France,24,13,0.47,1,4.75,,No,2,0,0
SSN100940,USR1252,2024-06-18T11:12:12,2024-06-18T12:00:12,Sci-Fi,Mobile,Premium,Germany,50,33,0.69,0,3.3,4.4,No,4,5,0
SSN100941,USR9040,2024-11-21T02:10:50,2024-11-21T03:10:50,Horror,Mobile,Standard,Australia,58,34,0.53,0,2.9,4,No,1,2,1
SSN100942,USR7991,2024-05-03T01:41:28,2024-05-03T02:38:28,Action,Mobile,premium,Canada,57,45,0.8,2,3.63,3.1,Yes,3,3,0
SSN100943,USR2746,2024-04-20T18:18:17,2024-04-20T20:58:17,comedy,Tablet,Basic,FR,157,117,0.7,0,3.92,5,Yes,0,3,1
SSN100944,USR8162,2024-02-24T19:49:04,2024-02-24T20:21:04,Comedy,Game Console,Basic,Canada,28,25,0.76,2,2.9,4.4,Yes,3,2,0
SSN100945,USR7092,2024-03-11T12:22:35,2024-03-11T14:40:35,Documentary,Game Console,Basic,Canada,138,101,0.73,0,1.6,4,No,1,2,2
SSN100946,USR5770,2024-08-19T16:18:36,2024-08-19T19:11:36,Animation,Tablet,Basic,Canada,171,175,1,0,5.34,3.2,No,0,2,2
